Jabatan,Kode Unit,Judul Unit,Elemen Kompetensi,Kriteria Unjuk Kerja (KUK),,,,,
Manager,C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Mengenali industri 4.0,"1.1 Latar belakang, keuntungan dan tantangan industri 4.0 diidentifikasi; 1.2 Teknologi informasi yang mendukung kinerja industri 4.0 diidentifikasi; 1.3 Karakteristik industri diidentifikasi secara holistik; 1.4 Kualifikasi SDM diformulasikan sesuai dengan karakteristik industri 4.0. ",,,,,
Manager,C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Mengidentifikasi core element industri 4.0,2.1 Core technology untuk industri 4.0 diidentifikasi; 2.2 Core process yang relevan untuk industri dikategorikan berdasarkan kasus bisnis; 2.3 Persyaratan kualifikasi personil dan proses kerja untuk industri 4.0 diidentifikasi. ,,,,,
Manager,C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Membuat peta pemangku kepentingan,3.1 Pemangku kepentingan terkait transformasi industri 4.0 diidentifikasi; 3.2 Current condition pemangku kepentingan dipetakan berdasarkan fungsi organisasi. ,,,,,
Manager,C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Melakukan business model analysis dan business process,1.1 Business model yang sedang berjalan diidentifikasi; 1.2 Peluang business model baru diidentifikasi berdasarkan transformasi industri 4.0; 1.3 Business process dipetakan sesuai dengan peluang penerapan transformasi; 1.4 Peningkatan pencapaian target kinerja dikaji sesuai peluang transformasi. ,,,,,
Manager,C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Melakukan gap analysis,2.1 Hasil analisis kebutuhan dibandingkan dengan kondisi saat ini; 2.2 Penerapan transformasi dianalisis berdasarkan peluang peningkatan capaian kinerja. ,,,,,
Manager,C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Menentukan peluang peningkatan capaian kinerja,3.1 Ruang lingkup ditentukan berdasarkan strategi perusahaan; 3.2 Capaian kinerja ditetapkan sesuai ruang lingkup transformasi. ,,,,,
Manager,C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0,Menentukan target transformasi industri 4.0,1.1 Parameter KPI transformasi ditentukan sesuai ruang lingkup; 1.2 Tahapan capaian target ditentukan untuk memastikan penerapan sesuai rencana; 1.3 Business model ditentukan dengan memperhatikan peluang bisnis baru. ,,,,,
Manager,C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0, Membuat business process dan roadmap,2.1 Proyek transformasi yang akan diimplementasikan diidentifikasi; 2.2 Target transformasi business process dirumuskan sesuai KPI; 2.3 Roadmap transformasi dirumuskan sesuai target. ,,,,,
Manager,C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0,Membuat strategi penerapan roadmap,3.1 Penerapan dikaji untuk mengantisipasi kondisi VUCA; 3.2 Strategi transformasi dirumuskan. ,,,,,
Manager,C.29TDI01.004.1,Melakukan Pilot Project Industri 4.0,Menyiapkan proyek,1.1 Tim dibentuk; 1.2 Sumber daya disiapkan; 1.3 Jadwal disusun.,,,,,
