Skill Name,Category,Skill Name Clean,Category Clean
Python,Programming,python,programming
Java,Programming,java,programming
JavaScript,Programming,javascript,programming
C++,Programming,c,programming
C#,Programming,c,programming
Ruby,Programming,ruby,programming
PHP,Programming,php,programming
Go,Programming,go,programming
Rust,Programming,rust,programming
TypeScript,Programming,typescript,programming
Kotlin,Programming,kotlin,programming
Swift,Programming,swift,programming
Scala,Programming,scala,programming
Perl,Programming,perl,programming
Shell Scripting,Programming,shell scripting,programming
R,Programming,r,programming
HTML,Web Development,html,web development
CSS,Web Development,css,web development
React,Web Development,react,web development
Vue.js,Web Development,vue js,web development
Angular,Web Development,angular,web development
Node.js,Web Development,node js,web development
Django,Web Development,django,web development
Flask,Web Development,flask,web development
REST API,Web Development,rest api,web development
GraphQL,Web Development,graphql,web development
Responsive Design,Web Development,responsive design,web development
Web Accessibility,Web Development,web accessibility,web development
SEO,Web Development,seo,web development
Android,Mobile Development,android,mobile development
iOS,Mobile Development,ios,mobile development
React Native,Mobile Development,react native,mobile development
Flutter,Mobile Development,flutter,mobile development
Mobile UI/UX,Mobile Development,mobile ui ux,mobile development
Mobile Security,Mobile Development,mobile security,mobile development
App Testing,Mobile Development,app testing,mobile development
AWS,Cloud & DevOps,aws,cloud devops
Azure,Cloud & DevOps,azure,cloud devops
GCP,Cloud & DevOps,gcp,cloud devops
Docker,Cloud & DevOps,docker,cloud devops
Kubernetes,Cloud & DevOps,kubernetes,cloud devops
CI/CD,Cloud & DevOps,ci cd,cloud devops
Jenkins,Cloud & DevOps,jenkins,cloud devops
Terraform,Cloud & DevOps,terraform,cloud devops
CloudFormation,Cloud & DevOps,cloudformation,cloud devops
Ansible,Cloud & DevOps,ansible,cloud devops
Microservices,Cloud & DevOps,microservices,cloud devops
Serverless,Cloud & DevOps,serverless,cloud devops
Machine Learning,Data Science & Analytics,machine learning,data science analytics
Deep Learning,Data Science & Analytics,deep learning,data science analytics
TensorFlow,Data Science & Analytics,tensorflow,data science analytics
PyTorch,Data Science & Analytics,pytorch,data science analytics
Scikit-learn,Data Science & Analytics,scikit learn,data science analytics
Data Analysis,Data Science & Analytics,data analysis,data science analytics
Statistics,Data Science & Analytics,statistics,data science analytics
Pandas,Data Science & Analytics,pandas,data science analytics
NumPy,Data Science & Analytics,numpy,data science analytics
SQL,Data Science & Analytics,sql,data science analytics
Tableau,Data Science & Analytics,tableau,data science analytics
Power BI,Data Science & Analytics,power bi,data science analytics
Jupyter,Data Science & Analytics,jupyter,data science analytics
Python,Data Science & Analytics,python,data science analytics
R,Data Science & Analytics,r,data science analytics
SQL,Database,sql,database
MySQL,Database,mysql,database
PostgreSQL,Database,postgresql,database
MongoDB,Database,mongodb,database
Oracle,Database,oracle,database
Cassandra,Database,cassandra,database
Redis,Database,redis,database
Database Design,Database,database design,database
Query Optimization,Database,query optimization,database
NoSQL,Database,nosql,database
Leadership,Soft Skills,leadership,soft skills
Communication,Soft Skills,communication,soft skills
Problem Solving,Soft Skills,problem solving,soft skills
Critical Thinking,Soft Skills,critical thinking,soft skills
Teamwork,Soft Skills,teamwork,soft skills
Time Management,Soft Skills,time management,soft skills
Adaptability,Soft Skills,adaptability,soft skills
Creativity,Soft Skills,creativity,soft skills
Negotiation,Soft Skills,negotiation,soft skills
Mentoring,Soft Skills,mentoring,soft skills
Project Management,Soft Skills,project management,soft skills
Strategic Planning,Soft Skills,strategic planning,soft skills
Decision Making,Soft Skills,decision making,soft skills
Financial Analysis,Business,financial analysis,business
Business Development,Business,business development,business
Market Research,Business,market research,business
Strategic Planning,Business,strategic planning,business
Business Acumen,Business,business acumen,business
Sales,Business,sales,business
Marketing,Business,marketing,business
Budget Management,Business,budget management,business
P&L Management,Business,p l management,business
User Experience,Design,user experience,design
User Interface,Design,user interface,design
Graphic Design,Design,graphic design,design
Web Design,Design,web design,design
Adobe Creative Suite,Design,adobe creative suite,design
Figma,Design,figma,design
Wireframing,Design,wireframing,design
Prototyping,Design,prototyping,design
Penetration Testing,Cybersecurity,penetration testing,cybersecurity
Network Security,Cybersecurity,network security,cybersecurity
Encryption,Cybersecurity,encryption,cybersecurity
Firewalls,Cybersecurity,firewalls,cybersecurity
Security Protocols,Cybersecurity,security protocols,cybersecurity
Risk Assessment,Cybersecurity,risk assessment,cybersecurity
Compliance,Cybersecurity,compliance,cybersecurity
Security Architecture,Cybersecurity,security architecture,cybersecurity
Project Management,Professional,project management,professional
Agile,Professional,agile,professional
Scrum,Professional,scrum,professional
Kanban,Professional,kanban,professional
Jira,Professional,jira,professional
Confluence,Professional,confluence,professional
Documentation,Professional,documentation,professional
Technical Writing,Professional,technical writing,professional
Presentation Skills,Professional,presentation skills,professional
